"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 30 Jun, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","1651230513","1811321000","3.74","202518","","","/mutual-fund/holding-history/356902/853/"
"City Union Bank Ltd","CUB","532210","Financial Services","1108635014.16","1147405000","2.37","5246238","","","/mutual-fund/holding-history/356902/295/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","1124321905.2","1109762000","2.29","4148024","","","/mutual-fund/holding-history/356902/721/"
"Techno Electric & Engineering Co Ltd","TECHNOE","542141","Industrials","1038275759","1095152000","2.26","684427","","","/mutual-fund/holding-history/356902/118204/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","1003763281.2","968927000","2","201018","","","/mutual-fund/holding-history/356902/914/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","970276230","966304000","1.99","1621180","","","/mutual-fund/holding-history/356902/77534/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","892051643.7","939539000","1.94","470169","","","/mutual-fund/holding-history/356902/154217/"
"Eris Lifesciences Ltd Registered Shs","ERIS","540596","Healthcare","954405011.7","905011000","1.87","537481","","","/mutual-fund/holding-history/356902/54899/"
"Paradeep Phosphates Ltd","PARADEEP","543530","Basic Materials","1033065367.2","871676000","1.8","5448657","-89217","-1.61","/mutual-fund/holding-history/356902/895889/"
"KEI Industries Ltd","KEI","517569","Industrials","907358307.3","862403000","1.78","227391","","","/mutual-fund/holding-history/356902/729/"
"Jubilant Ingrevia Ltd Ordinary Shares","JUBLINGREA","543271","Basic Materials","893883682.05","832479000","1.72","1091633","","","/mutual-fund/holding-history/356902/450809/"
"JK Cement Ltd","JKCEMENT","532644","Basic Materials","852837920","808159000","1.67","131408","","","/mutual-fund/holding-history/356902/683/"
"Zensar Technologies Ltd","ZENSARTECH","504067","Technology","767386764.9","796945000","1.65","945873","","","/mutual-fund/holding-history/356902/1544/"
"India Shelter Finance Corporation Ltd","INDIASHLTR","544044","Financial Services","856817184.6","771872000","1.59","876629","","","/mutual-fund/holding-history/356902/1826519/"
"Subros Ltd","SUBROS","517168","Consumer Cyclical","696438227.25","759224000","1.57","793255","-121705","-13.3","/mutual-fund/holding-history/356902/1302/"
"INOX India Ltd","INOXINDIA","544046","Industrials","752124209","756429000","1.56","614983","","","/mutual-fund/holding-history/356902/1830843/"
"Caplin Point Laboratories Ltd","CAPLIPOINT","524742","Healthcare","728759600","742219000","1.53","350500","","","/mutual-fund/holding-history/356902/237/"
"Gravita India Ltd","GRAVITA","533282","Industrials","674202408.6","735440000","1.52","391046","2529","0.65","/mutual-fund/holding-history/356902/491/"
"Coforge Ltd","COFORGE","532541","Technology","706173416","731291000","1.51","379990","","","/mutual-fund/holding-history/356902/942/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","711455385.6","725841000","1.5","1453136","","","/mutual-fund/holding-history/356902/1373/"
"KPIT Technologies Ltd","KPITTECH","542651","Technology","716394768","717935000","1.48","570378","35360","6.61","/mutual-fund/holding-history/356902/141324/"
"Tips Music Ltd","TIPSMUSIC","532375","Communication Services","662756724","706258000","1.46","1049496","","","/mutual-fund/holding-history/356902/1401/"
"Acutaas Chemicals Ltd","ACUTAAS","543349","Basic Materials","698296780.8","678610000","1.4","592983","23613","4.15","/mutual-fund/holding-history/356902/644637/"
"Brigade Enterprises Ltd","BRIGADE","532929","Real Estate","649415141.7","663098000","1.37","597493","","","/mutual-fund/holding-history/356902/219/"
"eClerx Services Ltd","ECLERX","532927","Technology","654704112","613557000","1.27","175242","","","/mutual-fund/holding-history/356902/356/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","580328872.5","611711000","1.26","196755","","","/mutual-fund/holding-history/356902/67548/"
"IndiaMART InterMESH Ltd","INDIAMART","542726","Communication Services","598801280","609595000","1.26","234640","","","/mutual-fund/holding-history/356902/149049/"
"Nesco Ltd","NESCO","505355","Industrials","650357064","595470000","1.23","511287","","","/mutual-fund/holding-history/356902/929/"
"Krishna Institute of Medical Sciences Ltd","KIMS","543308","Healthcare","662980764.15","594534000","1.23","882621","","","/mutual-fund/holding-history/356902/555690/"
"V-Mart Retail Ltd","VMART","534976","Consumer Cyclical","520795942","587409000","1.21","683908","","","/mutual-fund/holding-history/356902/1498/"
"Timken India Ltd","TIMKEN","522113","Industrials","583427499","583044000","1.2","166665","","","/mutual-fund/holding-history/356902/1399/"
"Praj Industries Ltd","PRAJIND","522205","Industrials","545608052.1","562807000","1.16","1106037","","","/mutual-fund/holding-history/356902/1061/"
"Great Eastern Shipping Co Ltd","GESHIP","500620","Industrials","556691044.35","550338000","1.14","562229","","","/mutual-fund/holding-history/356902/452/"
"Kajaria Ceramics Ltd","KAJARIACER","500233","Industrials","631594470.4","549898000","1.14","508694","","","/mutual-fund/holding-history/356902/709/"
"Heritage Foods Ltd","HERITGFOOD","519552","Consumer Defensive","526845776.6","547082000","1.13","1099772","","","/mutual-fund/holding-history/356902/539/"
"Godrej Agrovet Ltd Ordinary Shares","GODREJAGRO","540743","Consumer Defensive","559940505.1","540006000","1.11","690986","","","/mutual-fund/holding-history/356902/62812/"
"Aditya Birla Capital Ltd","ABCAPITAL","540691","Financial Services","517490479","533003000","1.1","1926980","","","/mutual-fund/holding-history/356902/61684/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","534901952.8","522341000","1.08","372728","","","/mutual-fund/holding-history/356902/1521/"
"KFin Technologies Ltd","KFINTECH","543720","Technology","495475758.4","520705000","1.07","386366","","","/mutual-fund/holding-history/356902/1253626/"
"Sonata Software Ltd","SONATSOFTW","532221","Technology","539108959.8","514037000","1.06","1253596","","","/mutual-fund/holding-history/356902/1267/"
"TeamLease Services Ltd","TEAMLEASE","539658","Industrials","494599837.6","511367000","1.06","251756","13254","5.56","/mutual-fund/holding-history/356902/1955/"
"AAVAS Financiers Ltd","AAVAS","541988","Financial Services","456164714.2","501669000","1.04","239746","","","/mutual-fund/holding-history/356902/106807/"
"Awfis Space Solutions Ltd","AWFIS","544181","Industrials","495522408.6","501176000","1.03","779859","","","/mutual-fund/holding-history/356902/2278178/"
"Blue Star Ltd","BLUESTARCO","500067","Industrials","539594683.6","500261000","1.03","305858","21090","7.41","/mutual-fund/holding-history/356902/209/"
"Ujjivan Small Finance Bank Ltd Ordinary Shares","UJJIVANSFB","542904","Financial Services","443696330.22","460997000","0.95","9402338","1200484","14.64","/mutual-fund/holding-history/356902/175415/"
"Grindwell Norton Ltd","GRINDWELL","506076","Industrials","472433892","460555000","0.95","266340","","","/mutual-fund/holding-history/356902/496/"
"Fine Organic Industries Ltd Ordinary Shares","FINEORG","541557","Basic Materials","502494676.8","459657000","0.95","93777","","","/mutual-fund/holding-history/356902/92286/"
"Marksans Pharma Ltd","MARKSANS","524404","Healthcare","424031419.7","458105000","0.95","1751834","","","/mutual-fund/holding-history/356902/841/"
"Blue Jet Healthcare Ltd","BLUEJET","544009","Healthcare","458608858.05","444235000","0.92","506107","","","/mutual-fund/holding-history/356902/1761328/"
"Vijaya Diagnostic Centre Ltd","VIJAYA","543350","Healthcare","456694404.75","442981000","0.91","449613","","","/mutual-fund/holding-history/356902/644314/"
"CreditAccess Grameen Ltd Ordinary Shares","CREDITACC","541770","Financial Services","459796210","434645000","0.9","359300","","","/mutual-fund/holding-history/356902/100478/"
"CIE Automotive India Ltd","CIEINDIA","532756","Consumer Cyclical","414042673","433768000","0.9","978940","","","/mutual-fund/holding-history/356902/816/"
"Carborundum Universal Ltd","CARBORUNIV","513375","Industrials","438290182.75","431893000","0.89","447349","","","/mutual-fund/holding-history/356902/238/"
"Computer Age Management Services Ltd Ordinary Shares","CAMS","543232","Technology","424015182.5","428278000","0.88","99827","","","/mutual-fund/holding-history/356902/297909/"
"Metropolis Healthcare Ltd","METROPOLIS","542650","Healthcare","495800283.2","426895000","0.88","250202","","","/mutual-fund/holding-history/356902/139598/"
"Clean Science and Technology Ltd","CLEAN","543318","Basic Materials","370129500","417696000","0.86","285000","20000","7.55","/mutual-fund/holding-history/356902/580869/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","444803984","413636000","0.85","27607","","","/mutual-fund/holding-history/356902/60393/"
"Rossari Biotech Ltd Ordinary Shares","ROSSARI","543213","Basic Materials","426713400.75","412497000","0.85","597345","","","/mutual-fund/holding-history/356902/243466/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","384160177.5","401083000","0.83","335775","","","/mutual-fund/holding-history/356902/166089/"
"Metro Brands Ltd","METROBRAND","543426","Consumer Cyclical","414370114.4","389991000","0.81","339064","","","/mutual-fund/holding-history/356902/750564/"
"Ratnamani Metals & Tubes Ltd","RATNAMANI","520111","Basic Materials","371268487.2","388765000","0.8","132648","","","/mutual-fund/holding-history/356902/1114/"
"Cera Sanitaryware Ltd","CERA","532443","Industrials","384704152","385096000","0.79","56014","","","/mutual-fund/holding-history/356902/254/"
"Kewal Kiran Clothing Ltd","KKCL","532732","Consumer Cyclical","409749040.8","377852000","0.78","733266","","","/mutual-fund/holding-history/356902/749/"
"Aarti Industries Ltd","AARTIIND","524208","Basic Materials","331950615.7","376294000","0.78","784846","","","/mutual-fund/holding-history/356902/14/"
"Pitti Engineering Ltd","PITTIENG","513519","Industrials","378046588.4","370576000","0.76","365333","","","/mutual-fund/holding-history/356902/1045/"
"NIIT Learning Systems Ltd","NIITMTS","543952","Consumer Defensive","366859581","366314000","0.76","1090870","10000","0.93","/mutual-fund/holding-history/356902/1603230/"
"Sheela Foam Ltd","SFL","540203","Consumer Cyclical","329281513.75","357203000","0.74","491575","","","/mutual-fund/holding-history/356902/4957/"
"Johnson Controls - Hitachi Air Conditioning India Ltd","JCHAC","523398","Consumer Cyclical","353557843.1","354795000","0.73","202763","","","/mutual-fund/holding-history/356902/563/"
"Firstsource Solutions Ltd","FSL","532809","Technology","305236654.8","326082000","0.67","870364","","","/mutual-fund/holding-history/356902/428/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","326176457.4","309502000","0.64","118257","","","/mutual-fund/holding-history/356902/1090/"
"RHI Magnesita India Ltd","RHIM","534076","Industrials","332223606","307184000","0.63","645345","","","/mutual-fund/holding-history/356902/989/"
"Equitas Small Finance Bank Ltd Ordinary Shares","EQUITASBNK","543243","Financial Services","279692284.92","299174000","0.62","4457958","","","/mutual-fund/holding-history/356902/325199/"
"Concord Biotech Ltd","CONCORDBIO","543960","Healthcare","296163396","287581000","0.59","156328","-45589","-22.58","/mutual-fund/holding-history/356902/1587026/"
"Indo Count Industries Ltd","ICIL","521016","Consumer Cyclical","275302601.2","275164000","0.57","926321","","","/mutual-fund/holding-history/356902/585/"
"PNC Infratech Ltd","PNCINFRA","539150","Industrials","255219895","250432000","0.52","811510","426345","110.69","/mutual-fund/holding-history/356902/1717/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","241386861.52","242076000","0.5","1253567","","","/mutual-fund/holding-history/356902/63143/"
"Avanti Feeds Ltd","AVANTIFEED","512573","Consumer Defensive","245866390","240277000","0.5","327800","","","/mutual-fund/holding-history/356902/138/"
"La Opala RG Ltd","LAOPALA","526947","Consumer Cyclical","233656894.25","229596000","0.47","878905","","","/mutual-fund/holding-history/356902/784/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","221245885.8","225888000","0.47","203613","","","/mutual-fund/holding-history/356902/4826/"
"National Aluminium Co Ltd","NATIONALUM","532234","Basic Materials","229396006.58","224743000","0.46","1166282","","","/mutual-fund/holding-history/356902/911/"
"Route Mobile Ltd Ordinary Shares","ROUTE","543228","Communication Services","189406744.8","207031000","0.43","202228","","","/mutual-fund/holding-history/356902/290299/"
"Orchid Pharma Ltd","ORCHPHARMA","524372","Healthcare","205224928.5","202405000","0.42","283362","","","/mutual-fund/holding-history/356902/980/"
"Greenpanel Industries Ltd Ordinary Shares","GREENPANEL","542857","Basic Materials","190905737.25","175888000","0.36","654347","","","/mutual-fund/holding-history/356902/170350/"
"Sai Silks (Kalamandir) Ltd","KALAMANDIR","543989","Consumer Cyclical","196156541.6","171975000","0.36","1127855","","","/mutual-fund/holding-history/356902/1698176/"
"Arman Financial Services Ltd","ARMANFIN","531179","Financial Services","107703194.8","112587000","0.23","64858","","","/mutual-fund/holding-history/356902/3489/"
"Safari Industries (India) Ltd","SAFARI","523025","Consumer Cyclical","89498544.6","90142000","0.19","41771","","","/mutual-fund/holding-history/356902/2912/"